player,posteam,position,total_plays,avg_xoe,total_explosives,avg_pred
A.Abdullah,CAR,RB,21,0.6565897677625928,1,0.39102927985645475
A.Abdullah,DET,RB,45,0.7714924130174848,6,0.36184092031584847
A.Blue,HOU,RB,47,0.7749485715906671,6,0.352711002877418
A.Boldin,DET,WR,20,0.587536795437336,1,0.46246320456266404
A.Brown,PHI,WR,21,0.8481318269457135,7,0.4852015063876197
A.Brown,PIT,WR,93,0.7573539582631921,24,0.5007105578658402
A.Brown,TB,WR,24,0.615597183505694,5,0.5927361498276392
A.Brown,TEN,WR,54,0.690210732044997,14,0.5690485272142622
A.Collins,BAL,OL,68,0.7920192291631418,10,0.35503959436627
A.Collins,SEA,OL,39,0.7362218885085522,5,0.39198323969657606
A.Cooper,CLE,WR,23,0.6883475003035172,6,0.5725220649138741
A.Cooper,DAL,WR,82,0.6461659878855799,17,0.5611510852851519
A.Cooper,LV,WR,49,0.7032035187799104,11,0.521286277138457
A.Dalton,CIN,QB,26,0.8862249163480905,1,0.15223662211344793
A.Dillon,GB,RB,90,0.7008726471000247,9,0.39912735289997525
A.Ekeler,LAC,RB,253,0.7529496349129281,42,0.4130582702254118
A.Ellington,ARI,RB,28,0.6002712696790695,2,0.47115730174950193
A.Erickson,CIN,WR,34,0.6254452173324192,3,0.4627900767852278
A.Firkser,TEN,TE,34,0.7350104863152784,7,0.47087186662589803
A.Gates,LAC,TE,40,0.5917261004447937,3,0.4832738995552063
A.Gibson,WAS,RB,156,0.7028085018197695,14,0.3869350879238202
A.Green,ARI,WR,31,0.7287137859290646,6,0.4648346011677096
A.Green,CIN,WR,81,0.7898178306626685,24,0.5064784656336279
A.Hooper,ATL,TE,48,0.7330833347514272,13,0.5377499985819062
A.Hooper,CLE,TE,36,0.5740746537016498,3,0.5092586796316836
A.Humphries,TB,WR,50,0.6562327256798745,10,0.5437672743201256
A.Humphries,TEN,WR,23,0.5837905653145002,1,0.459687695555065
A.Hurns,JAX,WR,27,0.566509802584295,4,0.5816383455638532
A.Jeffery,PHI,WR,64,0.7275938654784113,13,0.4755311345215887
A.Jones,GB,DL,282,0.7274974587221518,37,0.4037082150367135
A.Kamara,NO,RB,328,0.692737496707861,38,0.42311616182872436
A.Lazard,GB,WR,43,0.7441282154515733,11,0.5116857380367988
A.Luck,IND,QB,25,0.7673927107453347,1,0.2726072892546654
