player,posteam,position,total_plays,avg_xoe,total_explosives,avg_pred
A.Firkser,TEN,TE,34,0.7350104863152784,7,0.47087186662589803
C.Fleener,NO,TE,28,0.7611336676137788,7,0.4888663323862212
E.Ebron,DET,TE,33,0.7911865250630812,9,0.4815407476641915
G.Everett,LAC,TE,25,0.823014862537384,7,0.456985137462616
G.Kittle,SF,TE,108,0.8005794254993951,37,0.5420131670931975
G.Olsen,CAR,TE,55,0.7736351384357972,16,0.5172739524732937
H.Henry,LAC,TE,61,0.7861328254469105,21,0.5581294696350567
J.Cook,LV,TE,40,0.9356462486088276,17,0.48935375139117243
J.Cook,NO,TE,21,0.7828973843937829,6,0.5028169013205028
J.Graham,SEA,TE,44,0.7440626729618419,12,0.5286645997654308
J.Gresham,ARI,TE,22,0.9326795149933208,9,0.47641139409758826
M.Alie-Cox,IND,TE,27,0.8469735593707474,10,0.5233968109996231
M.Andrews,BAL,TE,95,0.7545368517699994,29,0.5507263061247374
M.Lewis,JAX,TE,20,0.7440207540988922,6,0.5559792459011078
O.Howard,TB,TE,46,0.7524683248737584,14,0.5518795012131982
R.Tonyan,GB,TE,38,0.848156364732667,14,0.5202646878989119
T.Conklin,MIN,TE,21,0.8028856459118071,8,0.5780667350405738
T.Kelce,KC,TE,196,0.7782643689792983,59,0.522756039183967
V.Davis,WAS,TE,30,0.7491107846299807,7,0.48422254870335263
W.Dissly,SEA,TE,26,0.7366905831373655,6,0.49407864763186526
