player,total_plays,avg_xoe,total_explosives,avg_pred
J.Gresham,22,0.9326795149933208,9,0.47641139409758826
K.Cousins,55,0.9264370132576335,9,0.23719935037873008
R.Tannehill,59,0.9060493308608815,12,0.29734049964759307
T.Lawrence,26,0.9001894856874759,7,0.3690412835432933
J.Herbert,33,0.8994234249447332,7,0.312697787176479
K.Wright,25,0.8990216875076293,10,0.5009783124923706
B.Bortles,28,0.897549279566322,7,0.3524507204336779
D.Brees,24,0.8946785094837347,0,0.10532149051626523
M.Stafford,32,0.8928768732585013,5,0.2633731267414987
J.Hurts,67,0.8925789688060533,16,0.34622700134320045
T.Brady,37,0.8908710238095876,2,0.16318303024446643
M.Boone,22,0.8880989727648821,6,0.38462829996239056
T.Bridgewater,30,0.8801255534092586,7,0.3532077799240748
D.Carr,52,0.8720508521566024,5,0.22410299399724373
D.Prescott,57,0.8709550484230644,11,0.3220274077172865
C.Keenum,25,0.8694522440433502,0,0.13054775595664977
B.Roethlisberger,22,0.8677319667556069,1,0.17772257869893854
S.Darnold,26,0.8622462990192267,4,0.2915998548269272
M.Ryan,49,0.8605679072895829,8,0.3026973988328661
C.Wilson,28,0.8602729067206383,11,0.5325842361365046
