player,posteam,total_plays,avg_xoe,total_explosives,avg_pred
A.Abdullah,CAR,21,0.6565897677625928,1,0.39102927985645475
A.Abdullah,DET,45,0.7714924130174848,6,0.36184092031584847
A.Blue,HOU,47,0.7749485715906671,6,0.352711002877418
A.Boldin,DET,20,0.587536795437336,1,0.46246320456266404
A.Brown,PHI,21,0.8481318269457135,7,0.4852015063876197
A.Brown,PIT,93,0.7573539582631921,24,0.5007105578658402
A.Brown,TB,24,0.615597183505694,5,0.5927361498276392
A.Brown,TEN,54,0.690210732044997,14,0.5690485272142622
A.Collins,BAL,68,0.7920192291631418,10,0.35503959436627
A.Collins,SEA,39,0.7362218885085522,5,0.39198323969657606
A.Cooper,CLE,23,0.6883475003035172,6,0.5725220649138741
A.Cooper,DAL,82,0.6461659878855799,17,0.5611510852851519
A.Cooper,LV,49,0.7032035187799104,11,0.521286277138457
A.Dalton,CIN,26,0.8862249163480905,1,0.15223662211344793
A.Dillon,GB,90,0.7008726471000247,9,0.39912735289997525
A.Ekeler,LAC,253,0.7529496349129281,42,0.4130582702254118
A.Ellington,ARI,28,0.6002712696790695,2,0.47115730174950193
A.Erickson,CIN,34,0.6254452173324192,3,0.4627900767852278
A.Firkser,TEN,34,0.7350104863152784,7,0.47087186662589803
A.Gates,LAC,40,0.5917261004447937,3,0.4832738995552063
A.Gibson,WAS,156,0.7028085018197695,14,0.3869350879238202
A.Green,ARI,31,0.7287137859290646,6,0.4648346011677096
A.Green,CIN,81,0.7898178306626685,24,0.5064784656336279
A.Hooper,ATL,48,0.7330833347514272,13,0.5377499985819062
A.Hooper,CLE,36,0.5740746537016498,3,0.5092586796316836
A.Humphries,TB,50,0.6562327256798745,10,0.5437672743201256
A.Humphries,TEN,23,0.5837905653145002,1,0.459687695555065
A.Hurns,JAX,27,0.566509802584295,4,0.5816383455638532
A.Jeffery,PHI,64,0.7275938654784113,13,0.4755311345215887
A.Jones,GB,282,0.7274974587221518,37,0.4037082150367135
A.Kamara,NO,328,0.692737496707861,38,0.42311616182872436
A.Lazard,GB,43,0.7441282154515733,11,0.5116857380367988
A.Luck,IND,25,0.7673927107453347,1,0.2726072892546654
A.Mattison,MIN,107,0.7268290447297497,15,0.41335787115810074
A.Miller,CHI,44,0.694064432924444,9,0.5104810216210105
A.Morris,DAL,41,0.7977490148893217,7,0.3729826924277515
A.Morris,SF,29,0.6683681972067932,3,0.4350800786552758
A.Peterson,ARI,34,0.6567414306542453,2,0.40208209875751943
A.Peterson,DET,42,0.7284933775663376,4,0.36674471767175765
A.Peterson,WAS,107,0.7745775682068317,13,0.34691775889597204
A.Robinson,CHI,85,0.7377781396403033,19,0.48575127212440267
A.Robinson,JAX,22,0.6503703702579845,5,0.5769023570147428
A.Rodgers,GB,48,0.8601853620881835,9,0.3273146379118164
A.St. Brown,DET,59,0.7287306368856107,14,0.5085574987076097
A.Tate,CIN,26,0.7108178964027991,6,0.5199513343664316
A.Thielen,MIN,150,0.7234450074036917,42,0.5565549925963084
A.Wilson,KC,23,0.6486819010713826,5,0.5687094032764435
A.Wilson,MIA,30,0.6288463731606801,3,0.4711536268393199
B.Aiyuk,SF,67,0.7946078643869998,23,0.5486757177025524
B.Berrios,NYJ,46,0.69024664681890735,10,0.5271446575289187
B.Bolden,NE,29,0.8555560194212815,8,0.4203060495442358
B.Bortles,JAX,28,0.897549279566322,7,0.3524507204336779
B.Coleman,NO,20,0.5937250822782516,3,0.5562749177217483
B.Cooks,HOU,79,0.773008438982541,23,0.5181308015237881
B.Cooks,LA,39,0.681410856736012,9,0.5493583740332187
B.Cooks,NE,22,0.7520063384012743,6,0.5207209343259985
B.Cooks,NO,24,0.7319655766089758,5,0.4763677567243576
B.Fowler,DEN,24,0.6432359280685583,2,0.440097405264775
B.Hill,ATL,43,0.7118415714696397,6,0.4276933122512906
