player,total_plays,avg_xoe,total_explosives,avg_pred
J.Gresham,22,0.9326795149933208,9,0.47641139409758826
K.Cousins,55,0.9264370132576335,9,0.23719935037873008
R.Tannehill,59,0.9060493308608815,12,0.29734049964759307
T.Lawrence,26,0.9001894856874759,7,0.3690412835432933
J.Herbert,33,0.8994234249447332,7,0.312697787176479
K.Wright,25,0.8990216875076293,10,0.5009783124923706
B.Bortles,28,0.897549279566322,7,0.3524507204336779
D.Brees,24,0.8946785094837347,0,0.10532149051626523
M.Stafford,32,0.8928768732585013,5,0.2633731267414987
J.Hurts,67,0.8925789688060533,16,0.34622700134320045
T.Brady,37,0.8908710238095876,2,0.16318303024446643
M.Boone,22,0.8880989727648821,6,0.38462829996239056
T.Bridgewater,30,0.8801255534092586,7,0.3532077799240748
D.Carr,52,0.8720508521566024,5,0.22410299399724373
D.Prescott,57,0.8709550484230644,11,0.3220274077172865
C.Keenum,25,0.8694522440433502,0,0.13054775595664977
B.Roethlisberger,22,0.8677319667556069,1,0.17772257869893854
S.Darnold,26,0.8622462990192267,4,0.2915998548269272
M.Ryan,49,0.8605679072895829,8,0.3026973988328661
C.Wilson,28,0.8602729067206383,11,0.5325842361365046
D.Peoples-Jones,43,0.8602654909671739,16,0.5118275322886401
A.Rodgers,49,0.8587809019550985,9,0.3248925674326566
R.Wilson,105,0.8558360630557651,24,0.3727353655156635
Br.Hall,22,0.8552210209044543,6,0.4175062518228184
F.Moreau,35,0.8552062255995614,14,0.5447937744004386
P.Mahomes,60,0.8530904894073804,12,0.3469095105926196
M.Mariota,62,0.8526634232651803,12,0.3408849638315939
M.Williams,121,0.8489488954386435,44,0.5146874681977202
J.Maclin,27,0.8484589849357251,10,0.5219113854346452
R.Tonyan,38,0.848156364732667,14,0.5202646878989119
S.Anderson,24,0.848053709914287,9,0.526946290085713
G.Smith,26,0.8479899764060974,4,0.30585617744005644
M.Alie-Cox,27,0.8469735593707474,10,0.5233968109996231
R.Higgins,44,0.8467784415591847,16,0.516857922077179
J.Allen,181,0.8459975453536155,40,0.37499692978450605
C.Wentz,66,0.8431803295106599,9,0.2931833068529765
A.Dalton,41,0.8356194299895588,1,0.18877081391288014
K.Murray,78,0.8346105521688094,17,0.3833381657799085
B.Bolden,33,0.8317188981807593,8,0.4107053442434831
L.Jackson,142,0.830932568811195,32,0.39441954386486133
C.Artis-Payne,22,0.8295649208805778,3,0.3067987154830586
J.Winston,50,0.8252000623941421,9,0.3547999376058579
C.Ridley,64,0.82510109920986,26,0.58114890079014
J.Garoppolo,27,0.8250546598875964,0,0.1749453401124036
C.Newton,86,0.8245835288666016,16,0.36146298276130545
R.Penny,72,0.8207561232977443,14,0.37368832114670014
D.Walker,53,0.8195632603370918,18,0.5200593811723421
K.Bourne,65,0.8190391299816279,23,0.534807023864526
R.Fitzpatrick,29,0.8177187576376158,3,0.2857295182244531
D.Jones,57,0.8165604370205026,13,0.4115097384180939
Ju.Jones,26,0.8143530339002609,11,0.6087238891766622
Ja.Brown,20,0.8119625799357891,7,0.5380374200642108
T.Higgins,69,0.8102848598922509,23,0.5230484734410825
E.Lacy,39,0.8077135460499005,5,0.32049158215522766
